strand_name,substrand_name,slo_name,slo_description,introduction_activities,development_activities,conclusion_activities,extended_activities,competencies,values,pcis,assessment_methods,learning_resources
Listening & Speaking,Listening Comprehension,Identify Arabic letters and their sounds for comprehension,By the end of the lesson the learner should be able to identify Arabic letters and their sounds,Warm-up: Play Arabic alphabet song; Discuss familiar Arabic words,Identify Arabic letters and sounds; Match sounds with letters; Join syllables to form words; Listen to greetings audio,Summarize key letters learned; Quick oral quiz,Practice pronunciation at home with family; Use language apps,Communication & Collaboration; Self-efficacy,Respect; Cultural appreciation,Cultural awareness; Life skills,Oral questions; Observation; Pronunciation check,Alphabet flashcards; Audio recordings; Charts
Listening & Speaking,Listening Comprehension,Combine syllables and sounds to form words,By the end of the lesson the learner should be able to combine syllables and sounds to form meaningful words,Review previous lesson; Warm-up with syllable clapping,Join syllables to form meaningful words; Pronounce words from display charts; Syllable puzzles,Word-building competitions; Peer review,Digital vocabulary games at home; Practice with flashcards,Communication & Collaboration; Self-efficacy,Respect; Responsibility,Cultural awareness; Effective communication,Oral assessment; Word formation test,Syllable cards; Word charts; Digital games
Listening & Speaking,Oral Expression,Greet appropriately in different contexts,By the end of the lesson the learner should be able to greet appropriately in various social contexts,Discuss importance of greetings; Share greetings from different cultures,Role-play greetings in pairs; Practice formal and informal greetings; Listen to audio examples,Demonstrate greetings to class; Peer feedback,Greet family members in Arabic; Practice with neighbors,Communication & Collaboration; Citizenship,Respect; Unity; Social justice,Cultural awareness; Social cohesion,Role-play observation; Peer assessment,Audio recordings; Role-play cards; Video clips
Listening & Speaking,Oral Expression,Respond to simple questions and commands,By the end of the lesson the learner should be able to respond appropriately to simple questions and commands in Arabic,Simon Says warm-up; Review question words,Practice question-answer pairs; Follow oral instructions; Group dialogue practice,Q&A session; Self-assessment,Practice with family; Listen to Arabic conversations,Communication & Collaboration; Critical thinking,Respect; Responsibility,Life skills; Effective communication,Oral questions; Command response observation,Question cards; Instruction sheets; Audio clips
Reading,Reading for Comprehension,Identify Arabic letters in written text,By the end of the lesson the learner should be able to identify and recognize Arabic letters in written text,Display Arabic alphabet; Review letter sounds,Display Arabic alphabet charts; Letter identification exercises; Reading letter patterns,Letter recognition quiz; Peer teaching,Read Arabic signs at home; Identify letters in books,Communication & Collaboration; Self-efficacy; Learning to learn,Respect; Responsibility,Cultural awareness; Life skills,Written identification test; Observation,Alphabet charts; Flashcards; Textbooks
Reading,Reading for Comprehension,Read simple words and short sentences,By the end of the lesson the learner should be able to read simple Arabic words and short sentences fluently,Word wall warm-up; Review syllables,Read word lists; Sentence reading practice; Paired reading,Reading demonstration; Self-evaluation,Read Arabic labels at home; Practice with story books,Communication & Collaboration; Self-efficacy,Respect; Integrity,Cultural awareness; Effective communication,Reading fluency assessment; Comprehension questions,Word cards; Sentence strips; Simple readers
Reading,Vocabulary Development,Use context clues to understand new words,By the end of the lesson the learner should be able to use context clues to determine meanings of unfamiliar Arabic words,Discuss word-guessing strategies; Share examples,Read passages with new vocabulary; Identify context clues; Dictionary practice,Create sentences with new words; Share with class,Keep a vocabulary journal; Practice daily,Critical thinking; Communication & Collaboration,Responsibility; Integrity,Life skills; Effective communication,Vocabulary quiz; Context usage assessment,Reading passages; Dictionaries; Vocabulary journals
Writing,Handwriting,Write Arabic letters legibly,By the end of the lesson the learner should be able to write Arabic letters legibly with correct formation,Letter tracing warm-up; Discuss letter shapes,Trace Arabic letters; Practice letter formation; Guided writing exercises,Letter writing assessment; Peer review,Practice writing at home; Complete worksheets,Communication & Collaboration; Self-efficacy,Responsibility; Discipline,Life skills,Handwriting checklist; Letter formation assessment,Writing worksheets; Tracing guides; Writing boards
Writing,Handwriting,Connect letters to form words,By the end of the lesson the learner should be able to connect Arabic letters correctly to form complete words,Review letter connections; Warm-up tracing,Practice letter connections; Word writing exercises; Copying from model,Word writing demonstration; Self-check,Write word lists at home; Practice connected writing,Communication & Collaboration; Self-efficacy,Responsibility; Patience,Discipline; Life skills,Word writing test; Formation assessment,Connection guides; Word models; Practice sheets
Writing,Creative Writing,Write simple sentences on familiar topics,By the end of the lesson the learner should be able to write simple sentences in Arabic on familiar everyday topics,Discuss familiar topics; Brainstorm vocabulary,Guided sentence writing; Topic-based writing practice; Peer sharing,Share written sentences; Class feedback,Write sentences about daily activities; Keep a journal,Creativity & Imagination; Communication & Collaboration,Responsibility; Integrity,Self-expression; Life skills,Sentence writing rubric; Content assessment,Topic cards; Sentence starters; Writing frames
